All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total N,Lebanon,1999,22
Grand Total N,Lebanon,2000,24.2
Grand Total N,Lebanon,2001,30
Grand Total N,Lebanon,2002,22.1
Grand Total N,Lebanon,2003,27.8
Grand Total N,Lebanon,2004,27.3
Grand Total N,Lebanon,2005,10.2
Grand Total N,Lebanon,2006,12.7
Grand Total N,Lebanon,2007,14.9
Grand Total N,Lebanon,2008,10.8
Grand Total N,Lebanon,2009,27.9
Grand Total N,Lebanon,2010,20.8
Grand Total N,Lebanon,2011,19.9
Grand Total N,Lebanon,2012,24.8
Grand Total N,Lebanon,2013,22.3
Grand Total N,Lebanon,2014,13.8
Grand Total N,Lebanon,2015,20.1
Grand Total N,Lebanon,2016,18.6
Grand Total N,Lebanon,2017,20.2
Grand Total N,Lebanon,2018,15.1
Grand Total N,Lebanon,2019,14.3
Grand Total N,Tunisia,1986,51.2
Grand Total N,Tunisia,1987,50.6
Grand Total N,Tunisia,1988,46.4
Grand Total N,Tunisia,1989,49.5
Grand Total N,Tunisia,1990,37.7
Grand Total N,Tunisia,1991,51.7
Grand Total N,Tunisia,1992,54.9
Grand Total N,Tunisia,1993,50.2
Grand Total N,Tunisia,1994,47
Grand Total N,Tunisia,1995,40
Grand Total N,Tunisia,1996,52
Grand Total N,Tunisia,1997,51.5
Grand Total N,Tunisia,1998,63.3
Grand Total N,Tunisia,1999,65
Grand Total N,Tunisia,2000,62.1
Grand Total N,Tunisia,2001,55
Grand Total N,Tunisia,2002,56
Grand Total N,Tunisia,2003,60
Grand Total N,Tunisia,2004,68
Grand Total N,Tunisia,2005,73
Grand Total N,Tunisia,2006,73.5
Grand Total N,Tunisia,2007,74.5
Grand Total N,Tunisia,2008,73.6
Grand Total N,Tunisia,2009,78
Grand Total N,Tunisia,2010,80
Grand Total N,Tunisia,2011,82
Grand Total N,Tunisia,2012,85
Grand Total N,Tunisia,2013,58.1
Grand Total N,Tunisia,2014,64.4
Grand Total N,Tunisia,2015,74
Grand Total N,Tunisia,2016,98.6
Grand Total N,Tunisia,2017,75.6
Grand Total N,Tunisia,2018,85.9
Grand Total N,Tunisia,2019,87.9
Grand Total N,Qatar,1986,0.5
Grand Total N,Qatar,1987,0.5
Grand Total N,Qatar,1988,0.6
Grand Total N,Qatar,1989,1.1
Grand Total N,Qatar,1990,1
Grand Total N,Qatar,1991,1.5
Grand Total N,Qatar,1992,1.5
Grand Total N,Qatar,1993,2
Grand Total N,Qatar,1994,6
Grand Total N,Qatar,1995,6
Grand Total N,Qatar,1996,1.2
Grand Total N,Qatar,1997,1.2
Grand Total N,Qatar,1998,0.5
Grand Total N,Qatar,1999,0.8
Grand Total N,Qatar,2000,0.5
Grand Total N,Qatar,2001,0.9
Grand Total N,Qatar,2002,1
Grand Total N,Qatar,2003,1
Grand Total N,Qatar,2004,1
Grand Total N,Qatar,2005,1
Grand Total N,Qatar,2006,1
Grand Total N,Qatar,2007,1
Grand Total N,Qatar,2008,1
Grand Total N,Qatar,2009,1
Grand Total N,Qatar,2010,1
Grand Total N,Qatar,2011,1
Grand Total N,Qatar,2012,1
Grand Total N,Qatar,2013,1.6
Grand Total N,Qatar,2014,1.4
Grand Total N,Qatar,2015,1.2
Grand Total N,Qatar,2016,1.2
Grand Total N,Qatar,2017,1.4
Grand Total N,Qatar,2018,1.5
Grand Total N,Qatar,2019,1.7
Grand Total N,North Macedonia,1986,0
Grand Total N,North Macedonia,1987,0
Grand Total N,North Macedonia,1988,0
Grand Total N,North Macedonia,1989,0
Grand Total N,North Macedonia,1990,0
Grand Total N,North Macedonia,1991,0
Grand Total N,North Macedonia,1992,0
Grand Total N,North Macedonia,1993,0
Grand Total N,North Macedonia,1994,36.2
Grand Total N,North Macedonia,1995,25
Grand Total N,North Macedonia,1996,30.4
Grand Total N,North Macedonia,1997,28.1
Grand Total N,North Macedonia,1998,25.2
Grand Total N,North Macedonia,1999,25
Grand Total N,North Macedonia,2000,19.2
Grand Total N,North Macedonia,2001,14.6
Grand Total N,North Macedonia,2002,15.7
Grand Total N,North Macedonia,2003,15.3
Grand Total N,North Macedonia,2004,18.2
Grand Total N,North Macedonia,2005,19.1
Grand Total N,North Macedonia,2006,17.1
Grand Total N,North Macedonia,2007,17.7
Grand Total N,North Macedonia,2008,16.4
Grand Total N,North Macedonia,2009,14
Grand Total N,North Macedonia,2010,17.1
Grand Total N,North Macedonia,2011,17
Grand Total N,North Macedonia,2012,17.2
Grand Total N,North Macedonia,2013,13.8
Grand Total N,North Macedonia,2014,14.3
Grand Total N,North Macedonia,2015,13.2
Grand Total N,North Macedonia,2016,13.2
Grand Total N,North Macedonia,2017,14.5
Grand Total N,North Macedonia,2018,13.9
Grand Total N,North Macedonia,2019,14.1
Grand Total N,Myanmar,1986,115
Grand Total N,Myanmar,1987,92
Grand Total N,Myanmar,1988,66.8
Grand Total N,Myanmar,1989,64.1
Grand Total N,Myanmar,1990,57.8
Grand Total N,Myanmar,1991,63.1
Grand Total N,Myanmar,1992,55
Grand Total N,Myanmar,1993,60
Grand Total N,Myanmar,1994,110.6
Grand Total N,Myanmar,1995,115.2
Grand Total N,Myanmar,1996,130.9
Grand Total N,Myanmar,1997,135.5
Grand Total N,Myanmar,1998,135
Grand Total N,Myanmar,1999,125
Grand Total N,Myanmar,2000,165
Grand Total N,Myanmar,2001,76.5
Grand Total N,Myanmar,2002,127.3
Grand Total N,Myanmar,2003,127
Grand Total N,Myanmar,2004,59
Grand Total N,Myanmar,2005,49.1
Grand Total N,Myanmar,2006,52.2
Grand Total N,Myanmar,2007,53.2
Grand Total N,Myanmar,2008,56
Grand Total N,Myanmar,2009,58
Grand Total N,Myanmar,2010,65.2
Grand Total N,Myanmar,2011,72.9
Grand Total N,Myanmar,2012,92.1
Grand Total N,Myanmar,2013,102.9
Grand Total N,Myanmar,2014,148.9
Grand Total N,Myanmar,2015,133.6
Grand Total N,Myanmar,2016,228.4
Grand Total N,Myanmar,2017,297.3
Grand Total N,Myanmar,2018,362
Grand Total N,Myanmar,2019,345.2
Grand Total N,Venezuela,1986,226.4
Grand Total N,Venezuela,1987,277.3
Grand Total N,Venezuela,1988,300.5
Grand Total N,Venezuela,1989,244
Grand Total N,Venezuela,1990,205
Grand Total N,Venezuela,1991,201.9
Grand Total N,Venezuela,1992,173
Grand Total N,Venezuela,1993,144
Grand Total N,Venezuela,1994,134
Grand Total N,Venezuela,1995,168
Grand Total N,Venezuela,1996,171
Grand Total N,Venezuela,1997,168.3
Grand Total N,Venezuela,1998,128.6
Grand Total N,Venezuela,1999,106
Grand Total N,Venezuela,2000,145
Grand Total N,Venezuela,2001,150
Grand Total N,Venezuela,2002,190
Grand Total N,Venezuela,2003,192
Grand Total N,Venezuela,2004,205
Grand Total N,Venezuela,2005,220
Grand Total N,Venezuela,2006,181
Grand Total N,Venezuela,2007,205
Grand Total N,Venezuela,2008,194
Grand Total N,Venezuela,2009,199.7
Grand Total N,Venezuela,2010,210
Grand Total N,Venezuela,2011,246.7
Grand Total N,Venezuela,2012,254.6
Grand Total N,Venezuela,2013,226.9
Grand Total N,Venezuela,2014,294
Grand Total N,Venezuela,2015,241.4
Grand Total N,Venezuela,2016,226.9
Grand Total N,Venezuela,2017,222.4
Grand Total N,Venezuela,2018,98
Grand Total N,Venezuela,2019,112.1
Grand Total N,Sri Lanka,1986,99.3
Grand Total N,Sri Lanka,1987,104.3
Grand Total N,Sri Lanka,1988,106
Grand Total N,Sri Lanka,1989,108.5
Grand Total N,Sri Lanka,1990,92.4
Grand Total N,Sri Lanka,1991,95.8
Grand Total N,Sri Lanka,1992,102.2
Grand Total N,Sri Lanka,1993,115.2
Grand Total N,Sri Lanka,1994,123.8
Grand Total N,Sri Lanka,1995,116
Grand Total N,Sri Lanka,1996,117.5
Grand Total N,Sri Lanka,1997,122.5
Grand Total N,Sri Lanka,1998,142.2
Grand Total N,Sri Lanka,1999,163.8
Grand Total N,Sri Lanka,2000,157.5
Grand Total N,Sri Lanka,2001,158.4
Grand Total N,Sri Lanka,2002,162
Grand Total N,Sri Lanka,2003,148
Grand Total N,Sri Lanka,2004,152
Grand Total N,Sri Lanka,2005,139
Grand Total N,Sri Lanka,2006,142.5
Grand Total N,Sri Lanka,2007,138
Grand Total N,Sri Lanka,2008,165.5
Grand Total N,Sri Lanka,2009,170
Grand Total N,Sri Lanka,2010,174.7
Grand Total N,Sri Lanka,2011,178.8
Grand Total N,Sri Lanka,2012,170.6
Grand Total N,Sri Lanka,2013,179.5
Grand Total N,Sri Lanka,2014,197.6
Grand Total N,Sri Lanka,2015,240.7
Grand Total N,Sri Lanka,2016,148.7
Grand Total N,Sri Lanka,2017,118.8
Grand Total N,Sri Lanka,2018,137.2
Grand Total N,Sri Lanka,2019,103.9
Grand Total N,Germany,1986,2287.2
Grand Total N,Germany,1987,2375.3
Grand Total N,Germany,1988,2413.1
Grand Total N,Germany,1989,2253
Grand Total N,Germany,1990,1787.3
Grand Total N,Germany,1991,1720
Grand Total N,Germany,1992,1680
Grand Total N,Germany,1993,1612
Grand Total N,Germany,1994,1787
Grand Total N,Germany,1995,1770
Grand Total N,Germany,1996,1758
Grand Total N,Germany,1997,1788.5
Grand Total N,Germany,1998,1903
Grand Total N,Germany,1999,2014
Grand Total N,Germany,2000,1848
Grand Total N,Germany,2001,1792
Grand Total N,Germany,2002,1788
Grand Total N,Germany,2003,1828
Grand Total N,Germany,2004,1778.7
Grand Total N,Germany,2005,1785.9
Grand Total N,Germany,2006,1599.1
Grand Total N,Germany,2007,1806.8
Grand Total N,Germany,2008,1550.5
Grand Total N,Germany,2009,1569
Grand Total N,Germany,2010,1786
Grand Total N,Germany,2011,1639.6
Grand Total N,Germany,2012,1647.8
Grand Total N,Germany,2013,1675.3
Grand Total N,Germany,2014,1822.3
Grand Total N,Germany,2015,1712.5
Grand Total N,Germany,2016,1658.4
Grand Total N,Germany,2017,1496.5
Grand Total N,Germany,2018,1342.3
Grand Total N,Germany,2019,1372.5
Grand Total N,Indonesia,1986,1366.2
Grand Total N,Indonesia,1987,1467.4
Grand Total N,Indonesia,1988,1585.4
Grand Total N,Indonesia,1989,1469.1
Grand Total N,Indonesia,1990,1609.9
Grand Total N,Indonesia,1991,1551.7
Grand Total N,Indonesia,1992,1697
Grand Total N,Indonesia,1993,1557.9
Grand Total N,Indonesia,1994,1649
Grand Total N,Indonesia,1995,1844
Grand Total N,Indonesia,1996,2084
Grand Total N,Indonesia,1997,1706.6
Grand Total N,Indonesia,1998,2120.9
Grand Total N,Indonesia,1999,1925.5
Grand Total N,Indonesia,2000,1964.4
Grand Total N,Indonesia,2001,1960
Grand Total N,Indonesia,2002,2221.7
Grand Total N,Indonesia,2003,2200
Grand Total N,Indonesia,2004,2351.7
Grand Total N,Indonesia,2005,2507.5
Grand Total N,Indonesia,2006,2350
Grand Total N,Indonesia,2007,2596
Grand Total N,Indonesia,2008,2737
Grand Total N,Indonesia,2009,3214.6
Grand Total N,Indonesia,2010,3044.9
Grand Total N,Indonesia,2011,2939.6
Grand Total N,Indonesia,2012,3063
Grand Total N,Indonesia,2013,3087
Grand Total N,Indonesia,2014,3208.8
Grand Total N,Indonesia,2015,3532.2
Grand Total N,Indonesia,2016,3254.5
Grand Total N,Indonesia,2017,3510.4
Grand Total N,Indonesia,2018,3553.7
Grand Total N,Indonesia,2019,3476
Grand Total N,Switzerland,1986,71.1
Grand Total N,Switzerland,1987,72.6
Grand Total N,Switzerland,1988,71.5
Grand Total N,Switzerland,1989,70.2
Grand Total N,Switzerland,1990,63.4
Grand Total N,Switzerland,1991,63
Grand Total N,Switzerland,1992,64
Grand Total N,Switzerland,1993,63
Grand Total N,Switzerland,1994,63
Grand Total N,Switzerland,1995,65
Grand Total N,Switzerland,1996,62
Grand Total N,Switzerland,1997,60
Grand Total N,Switzerland,1998,59
Grand Total N,Switzerland,1999,53
Grand Total N,Switzerland,2000,56
Grand Total N,Switzerland,2001,57
Grand Total N,Switzerland,2002,51
Grand Total N,Switzerland,2003,55
Grand Total N,Switzerland,2004,55
Grand Total N,Switzerland,2005,55
Grand Total N,Switzerland,2006,52
Grand Total N,Switzerland,2007,44
Grand Total N,Switzerland,2008,40
Grand Total N,Switzerland,2009,40.4
Grand Total N,Switzerland,2010,38.7
Grand Total N,Switzerland,2011,48
Grand Total N,Switzerland,2012,33.4
Grand Total N,Switzerland,2013,33.4
Grand Total N,Switzerland,2014,29.4
Grand Total N,Switzerland,2015,26.3
Grand Total N,Switzerland,2016,26.7
Grand Total N,Switzerland,2017,36.8
Grand Total N,Switzerland,2018,56.5
Grand Total N,Switzerland,2019,59.6
Grand Total N,Italy,1986,1056
Grand Total N,Italy,1987,1076.1
Grand Total N,Italy,1988,987
Grand Total N,Italy,1989,827
Grand Total N,Italy,1990,857
Grand Total N,Italy,1991,906
Grand Total N,Italy,1992,909
Grand Total N,Italy,1993,918
Grand Total N,Italy,1994,882
Grand Total N,Italy,1995,875
Grand Total N,Italy,1996,876
Grand Total N,Italy,1997,855
Grand Total N,Italy,1998,845
Grand Total N,Italy,1999,868
Grand Total N,Italy,2000,828
Grand Total N,Italy,2001,819
Grand Total N,Italy,2002,789
Grand Total N,Italy,2003,753
Grand Total N,Italy,2004,685
Grand Total N,Italy,2005,641
Grand Total N,Italy,2006,701
Grand Total N,Italy,2007,708
Grand Total N,Italy,2008,609
Grand Total N,Italy,2009,592
Grand Total N,Italy,2010,572
Grand Total N,Italy,2011,568
Grand Total N,Italy,2012,585
Grand Total N,Italy,2013,594
Grand Total N,Italy,2014,583
Grand Total N,Italy,2015,607
Grand Total N,Italy,2016,603.6
Grand Total N,Italy,2017,599.6
Grand Total N,Italy,2018,595.1
Grand Total N,Italy,2019,562.1
Grand Total N,Saudi Arabia,1986,181.5
Grand Total N,Saudi Arabia,1987,236.7
Grand Total N,Saudi Arabia,1988,238
Grand Total N,Saudi Arabia,1989,262
Grand Total N,Saudi Arabia,1990,273
Grand Total N,Saudi Arabia,1991,284
Grand Total N,Saudi Arabia,1992,292
Grand Total N,Saudi Arabia,1993,250
Grand Total N,Saudi Arabia,1994,196
Grand Total N,Saudi Arabia,1995,153
Grand Total N,Saudi Arabia,1996,181
Grand Total N,Saudi Arabia,1997,210
Grand Total N,Saudi Arabia,1998,173
Grand Total N,Saudi Arabia,1999,181.1
Grand Total N,Saudi Arabia,2000,208
Grand Total N,Saudi Arabia,2001,225
Grand Total N,Saudi Arabia,2002,224.3
Grand Total N,Saudi Arabia,2003,235
Grand Total N,Saudi Arabia,2004,238
Grand Total N,Saudi Arabia,2005,194
Grand Total N,Saudi Arabia,2006,206
Grand Total N,Saudi Arabia,2007,231
Grand Total N,Saudi Arabia,2008,168
Grand Total N,Saudi Arabia,2009,150
Grand Total N,Saudi Arabia,2010,149
Grand Total N,Saudi Arabia,2011,185.5
Grand Total N,Saudi Arabia,2012,206
Grand Total N,Saudi Arabia,2013,171.6
Grand Total N,Saudi Arabia,2014,164
Grand Total N,Saudi Arabia,2015,197
Grand Total N,Saudi Arabia,2016,201.7
Grand Total N,Saudi Arabia,2017,178.6
Grand Total N,Saudi Arabia,2018,178.2
Grand Total N,Saudi Arabia,2019,157
Grand Total N,Cameroon,1986,20.7
Grand Total N,Cameroon,1987,24.6
Grand Total N,Cameroon,1988,22
Grand Total N,Cameroon,1989,18.2
Grand Total N,Cameroon,1990,9
Grand Total N,Cameroon,1991,6
Grand Total N,Cameroon,1992,9.4
Grand Total N,Cameroon,1993,10.2
Grand Total N,Cameroon,1994,15
Grand Total N,Cameroon,1995,15
Grand Total N,Cameroon,1996,18
Grand Total N,Cameroon,1997,18.9
Grand Total N,Cameroon,1998,16.6
Grand Total N,Cameroon,1999,26
Grand Total N,Cameroon,2000,21.9
Grand Total N,Cameroon,2001,25.6
Grand Total N,Cameroon,2002,13
Grand Total N,Cameroon,2003,19.4
Grand Total N,Cameroon,2004,27.1
Grand Total N,Cameroon,2005,19.4
Grand Total N,Cameroon,2006,17.6
Grand Total N,Cameroon,2007,19.4
Grand Total N,Cameroon,2008,19.8
Grand Total N,Cameroon,2009,19
Grand Total N,Cameroon,2010,19
Grand Total N,Cameroon,2011,21.4
Grand Total N,Cameroon,2012,22.6
Grand Total N,Cameroon,2013,19.8
Grand Total N,Cameroon,2014,21.6
Grand Total N,Cameroon,2015,31.7
Grand Total N,Cameroon,2016,33.5
Grand Total N,Cameroon,2017,34.6
Grand Total N,Cameroon,2018,30.6
Grand Total N,Cameroon,2019,39.3
Grand Total N,Nepal,1986,32.9
Grand Total N,Nepal,1987,38.2
Grand Total N,Nepal,1988,39.8
Grand Total N,Nepal,1989,49.3
Grand Total N,Nepal,1990,51.8
Grand Total N,Nepal,1991,57
Grand Total N,Nepal,1992,59.4
Grand Total N,Nepal,1993,55.2
Grand Total N,Nepal,1994,66.4
Grand Total N,Nepal,1995,70
Grand Total N,Nepal,1996,75
Grand Total N,Nepal,1997,77.4
Grand Total N,Nepal,1998,87.4
Grand Total N,Nepal,1999,62
Grand Total N,Nepal,2000,54
Grand Total N,Nepal,2001,50.4
Grand Total N,Nepal,2002,51
Grand Total N,Nepal,2003,51
Grand Total N,Nepal,2004,18.9
Grand Total N,Nepal,2005,4
Grand Total N,Nepal,2006,6.8
Grand Total N,Nepal,2007,5
Grand Total N,Nepal,2008,8
Grand Total N,Nepal,2009,8.5
Grand Total N,Nepal,2010,15
Grand Total N,Nepal,2011,20
Grand Total N,Nepal,2012,61.8
Grand Total N,Nepal,2013,102.5
Grand Total N,Nepal,2014,85.9
Grand Total N,Nepal,2015,107.8
Grand Total N,Nepal,2016,104.3
Grand Total N,Nepal,2017,116.2
Grand Total N,Nepal,2018,69.6
Grand Total N,Nepal,2019,31.1
Grand Total N,Finland,1986,11
Grand Total N,Finland,1987,19.6
Grand Total N,Finland,1988,26.2
Grand Total N,Finland,1989,27.5
Grand Total N,Finland,1990,11.6
Grand Total N,Finland,1991,19.5
Grand Total N,Finland,1992,3
Grand Total N,Finland,1993,3
Grand Total N,Finland,1994,9
Grand Total N,Finland,1995,3
Grand Total N,Finland,1996,4
Grand Total N,Finland,1997,6
Grand Total N,Finland,1998,175
Grand Total N,Finland,1999,176
Grand Total N,Finland,2000,167
Grand Total N,Finland,2001,165
Grand Total N,Finland,2002,162
Grand Total N,Finland,2003,163
Grand Total N,Finland,2004,159
Grand Total N,Finland,2005,158
Grand Total N,Finland,2006,159
Grand Total N,Finland,2007,164
Grand Total N,Finland,2008,138
Grand Total N,Finland,2009,141
Grand Total N,Finland,2010,159
Grand Total N,Finland,2011,143
Grand Total N,Finland,2012,141
Grand Total N,Finland,2013,146
Grand Total N,Finland,2014,148
Grand Total N,Finland,2015,148
Grand Total N,Finland,2016,149
Grand Total N,Finland,2017,140
Grand Total N,Finland,2018,149
Grand Total N,Finland,2019,149
Grand Total N,Bangladesh,1986,423
Grand Total N,Bangladesh,1987,474.6
Grand Total N,Bangladesh,1988,528.6
Grand Total N,Bangladesh,1989,630.2
Grand Total N,Bangladesh,1990,609.2
Grand Total N,Bangladesh,1991,706.4
Grand Total N,Bangladesh,1992,713.3
Grand Total N,Bangladesh,1993,733.6
Grand Total N,Bangladesh,1994,804.3
Grand Total N,Bangladesh,1995,943
Grand Total N,Bangladesh,1996,996.1
Grand Total N,Bangladesh,1997,876.6
Grand Total N,Bangladesh,1998,882.5
Grand Total N,Bangladesh,1999,1014.7
Grand Total N,Bangladesh,2000,995.8
Grand Total N,Bangladesh,2001,1062.1
Grand Total N,Bangladesh,2002,1049.9
Grand Total N,Bangladesh,2003,1089.1
Grand Total N,Bangladesh,2004,1173.5
Grand Total N,Bangladesh,2005,1159
Grand Total N,Bangladesh,2006,1172.1
Grand Total N,Bangladesh,2007,1287
Grand Total N,Bangladesh,2008,1173.5
Grand Total N,Bangladesh,2009,1149
Grand Total N,Bangladesh,2010,1237.4
Grand Total N,Bangladesh,2011,1122.3
Grand Total N,Bangladesh,2012,1112.2
Grand Total N,Bangladesh,2013,1133
Grand Total N,Bangladesh,2014,1321.4
Grand Total N,Bangladesh,2015,1257.6
Grand Total N,Bangladesh,2016,1209
Grand Total N,Bangladesh,2017,1250.8
Grand Total N,Bangladesh,2018,1320.7
Grand Total N,Bangladesh,2019,1348.7
Grand Total N,Zimbabwe,1986,84.6
Grand Total N,Zimbabwe,1987,69.6
Grand Total N,Zimbabwe,1988,81.2
Grand Total N,Zimbabwe,1989,84.8
Grand Total N,Zimbabwe,1990,88.3
Grand Total N,Zimbabwe,1991,89.8
Grand Total N,Zimbabwe,1992,57.6
Grand Total N,Zimbabwe,1993,95.6
Grand Total N,Zimbabwe,1994,92.9
Grand Total N,Zimbabwe,1995,76
Grand Total N,Zimbabwe,1996,94
Grand Total N,Zimbabwe,1997,94
Grand Total N,Zimbabwe,1998,95
Grand Total N,Zimbabwe,1999,100
Grand Total N,Zimbabwe,2000,87.4
Grand Total N,Zimbabwe,2001,82
Grand Total N,Zimbabwe,2002,60
Grand Total N,Zimbabwe,2003,20
Grand Total N,Zimbabwe,2004,20
Grand Total N,Zimbabwe,2005,20
Grand Total N,Zimbabwe,2006,18
Grand Total N,Zimbabwe,2007,27
Grand Total N,Zimbabwe,2008,24.1
Grand Total N,Zimbabwe,2009,25.9
Grand Total N,Zimbabwe,2010,40
Grand Total N,Zimbabwe,2011,40.6
Grand Total N,Zimbabwe,2012,41
Grand Total N,Zimbabwe,2013,54.8
Grand Total N,Zimbabwe,2014,50
Grand Total N,Zimbabwe,2015,49
Grand Total N,Zimbabwe,2016,58
Grand Total N,Zimbabwe,2017,41.1
Grand Total N,Zimbabwe,2018,41.6
Grand Total N,Zimbabwe,2019,29.5
Grand Total N,Greece,1986,431.6
Grand Total N,Greece,1987,388.8
Grand Total N,Greece,1988,415.6
Grand Total N,Greece,1989,404.2
Grand Total N,Greece,1990,427.5
Grand Total N,Greece,1991,408.4
Grand Total N,Greece,1992,393
Grand Total N,Greece,1993,328
Grand Total N,Greece,1994,346
Grand Total N,Greece,1995,315
Grand Total N,Greece,1996,340
Grand Total N,Greece,1997,307
Grand Total N,Greece,1998,292
Grand Total N,Greece,1999,291
Grand Total N,Greece,2000,285
Grand Total N,Greece,2001,262
Grand Total N,Greece,2002,255
Grand Total N,Greece,2003,259
Grand Total N,Greece,2004,228
Grand Total N,Greece,2005,227
Grand Total N,Greece,2006,207
Grand Total N,Greece,2007,217
Grand Total N,Greece,2008,150
Grand Total N,Greece,2009,181
Grand Total N,Greece,2010,197
Grand Total N,Greece,2011,178
Grand Total N,Greece,2012,182
Grand Total N,Greece,2013,186
Grand Total N,Greece,2014,186.1
Grand Total N,Greece,2015,181.8
Grand Total N,Greece,2016,188.5
Grand Total N,Greece,2017,184
Grand Total N,Greece,2018,179.5
Grand Total N,Greece,2019,184.5
Grand Total N,Ecuador,1986,31
Grand Total N,Ecuador,1987,27.7
Grand Total N,Ecuador,1988,32
Grand Total N,Ecuador,1989,45.8
Grand Total N,Ecuador,1990,36.9
Grand Total N,Ecuador,1991,44.7
Grand Total N,Ecuador,1992,42.7
Grand Total N,Ecuador,1993,49
Grand Total N,Ecuador,1994,48
Grand Total N,Ecuador,1995,56
Grand Total N,Ecuador,1996,65
Grand Total N,Ecuador,1997,90.6
Grand Total N,Ecuador,1998,88.1
Grand Total N,Ecuador,1999,69.8
Grand Total N,Ecuador,2000,71.6
Grand Total N,Ecuador,2001,100.6
Grand Total N,Ecuador,2002,125.8
Grand Total N,Ecuador,2003,127
Grand Total N,Ecuador,2004,141
Grand Total N,Ecuador,2005,62.9
Grand Total N,Ecuador,2006,126.2
Grand Total N,Ecuador,2007,128.4
Grand Total N,Ecuador,2008,131.8
Grand Total N,Ecuador,2009,134.3
Grand Total N,Ecuador,2010,131.8
Grand Total N,Ecuador,2011,143.9
Grand Total N,Ecuador,2012,147
Grand Total N,Ecuador,2013,167.1
Grand Total N,Ecuador,2014,185.5
Grand Total N,Ecuador,2015,188.8
Grand Total N,Ecuador,2016,238.3
Grand Total N,Ecuador,2017,179.4
Grand Total N,Ecuador,2018,238.1
Grand Total N,Ecuador,2019,196.2
Grand Total N,Iceland,1986,12.8
Grand Total N,Iceland,1987,11.4
Grand Total N,Iceland,1988,11.5
Grand Total N,Iceland,1989,12.1
Grand Total N,Iceland,1990,12.5
Grand Total N,Iceland,1991,12
Grand Total N,Iceland,1992,10.8
Grand Total N,Iceland,1993,12
Grand Total N,Iceland,1994,11.2
Grand Total N,Iceland,1995,10.1
Grand Total N,Iceland,1996,11.6
Grand Total N,Iceland,1997,11.8
Grand Total N,Iceland,1998,12.5
Grand Total N,Iceland,1999,13.5
Grand Total N,Iceland,2000,13
Grand Total N,Iceland,2001,13
Grand Total N,Iceland,2002,14
Grand Total N,Iceland,2003,14
Grand Total N,Iceland,2004,14
Grand Total N,Iceland,2005,14
Grand Total N,Iceland,2006,13
Grand Total N,Iceland,2007,13
Grand Total N,Iceland,2008,12.5
Grand Total N,Iceland,2009,13
Grand Total N,Iceland,2010,13
Grand Total N,Iceland,2011,13
Grand Total N,Iceland,2012,13.1
Grand Total N,Iceland,2013,7.2
Grand Total N,Iceland,2014,7.5
Grand Total N,Iceland,2015,7.2
Grand Total N,Iceland,2016,6
Grand Total N,Iceland,2017,7
Grand Total N,Iceland,2018,5.4
Grand Total N,Iceland,2019,5.7
